temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
27.90675,82.625916,24.442167,0.0125,0.0125,1011.114,84.083336,0.17932194,0.727929,5.976704,10.46653,141.85597,15.36,0.27883333,0.29441667
28.98275,64.02617,20.35775,0.0,0.0,1011.2549,55.916668,0.252835,1.6959304,9.197857,15.250113,171.57176,23.22,0.28083333,0.30745834
27.1495,86.921425,24.491165,0.6375,0.6375,1006.44,58.291668,0.18699466,0.5771317,4.0051236,7.1141696,197.39352,13.23,0.40083334,0.38779166
28.877916,67.56789,21.750834,0.0,0.0,1009.21967,59.625,0.22933058,1.4501593,11.260029,18.839676,147.72629,25.244999,0.12875,0.15891667
29.019333,65.93937,21.471416,0.004166667,0.004166667,1009.72577,53.666668,0.2379451,1.5368749,10.813371,18.29511,158.88062,25.125,0.37645832,0.34829167
25.183167,90.00685,23.393583,0.15833333,0.15833333,1008.1321,91.666664,0.13256939,0.32865065,7.322431,11.958465,148.95158,20.115,0.392625,0.3843333
28.055916,69.95118,21.697582,0.016666668,0.016666668,1009.06525,60.75,0.23441167,1.2476671,15.07858,24.228489,134.93484,29.73,0.064875,0.061333332
25.93925,70.99509,19.51425,0.0,0.0,1001.1264,34.125,0.24056628,1.1623837,12.725581,18.546192,203.87187,25.935,0.26766667,0.29466668
27.905668,64.818,19.722334,0.0,0.0,1010.91595,38.0,0.23601903,1.5531205,9.272383,16.136616,159.85081,22.109999,0.27766666,0.29308334
26.846916,89.515724,24.807333,0.14166667,0.14166667,1009.7184,77.666664,0.16811866,0.43243986,3.795656,6.7379456,162.71988,11.804999,0.39766666,0.39929166
28.160667,78.392815,23.877333,0.045833334,0.045833334,1008.957,86.583336,0.18019973,0.87623984,10.932169,16.919807,131.52046,24.269999,0.2705,0.28333333
