Provinsi,Kab/Kota,Tanggal,Latitude,Longitude,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,Kebakaran
Sumatera Utara,Labuhanbatu,2024-07-27,3.025326,98.289185,23.495583,80.950554,19.601833,0.029166667,0.029166667,935.69855,97.125,0.18611726,0.67290366,5.5719705,7.780241,159.5693,16.095,0.23554167,0.25566667,Yes
Aceh,Gayo Lues,2024-07-27,3.97759925,97.33206766,22.595583,78.807526,18.26225,0.025,0.025,905.86,99.791664,0.19137847,0.7275653,4.1103244,6.4374065,254.92387,17.235,0.18283333,0.20920834,Yes
Sumatera Utara,Asahan,2024-07-27,3.1127636,99.94169219,29.36875,77.771484,25.06875,0.008333334,0.008333334,1008.10834,98.791664,0.22430803,0.9080736,28.285452,32.28443,126.7808,37.71,0,0,Yes
Jawa Timur,Mojokerto,2024-07-28,-7.4725876,112.4340515,28.00775,63.37791,19.522333,0,0,1008.187,34.875,0.20122674,1.6185526,5.984282,9.65313,248.48341,15.014999,0.15254167,0.160125,Yes
Nusa Tenggara Barat,Bima,2024-07-28,-8.615237,118.738413,26.048084,81.7517,22.425167,0.05,0.05,1003.37506,39.041668,0.14335804,0.6916995,6.8154125,10.819778,176.31114,19.14,0.16958334,0.16883333,Yes
Kepulauan Riau,Bintan,2024-07-28,1.01965765,104.5698189,28.686584,74.99542,23.782417,0.008333334,0.008333334,1006.11487,66.25,0.21994992,0.99642795,18.155546,27.540836,150.82088,32.73,0.11879167,0.14,Yes
Sumatera Selatan,Muara Enim,2024-07-29,-3.6500887,103.7719601,28.846334,68.30297,22.1005,0.004166667,0.004166667,1004.6178,60.291668,0.20728138,1.3599598,9.754845,16.441525,133.77185,20.49,0.21883333,0.290375,Yes
Kalimantan Barat,Kubu Raya,2024-07-29,-0.36948415,109.5123558,28.457832,77.63099,23.728666,0,0,1007.2293,34.583332,0.19992852,0.9980556,7.6429863,14.702568,164.2301,17.52,0.1945,0.238625,Yes
Jawa Tengah,Cilacap,2024-07-30,-7.73926,109.0141049,25.283916,84.87364,22.55475,0.0375,0.0375,1012.08795,67.458336,0.16465217,0.48688486,21.817987,25.16328,113.44067,28.05,0,0,Yes
Aceh,Bener Meriah,2024-07-30,3.23924,97.234497,27.736834,69.85742,21.570168,0,0,1000.9204,87.625,0.19725028,1.157292,3.7484837,5.058955,176.25089,16.545,0.14937499,0.19749999,Yes
Riau,Indragiri Hilir,2024-07-30,-0.516217,102.930472,27.563,82.19425,23.927584,0.5,0.5,1009.41833,69.75,0.18353601,0.77417886,7.130644,12.249082,146.83592,18.824999,0.21504167,0.21745834,Yes
Jawa Barat,Majalengka,2024-07-31,-6.8073627,108.278786,29.020334,57.884876,19.316168,0,0,999.6038,31.125,0.22274242,1.8505516,9.23905,14.454618,198.48013,20.939999,0.12566666,0.1615,Yes
Kepulauan Bangka Belitung,Belitung Timur,2024-07-31,-2.9164574,108.0037218,27.692833,79.92265,23.801167,0.029166667,0.029166667,1009.34064,81.25,0.15615544,0.78019214,14.053784,23.049835,118.6249,26.43,0.0615,0.08645833,Yes
Jawa Timur,Mojokerto,2024-08-01,-7.4725876,112.4340515,28.103582,70.92037,21.8015,0.004166667,0.004166667,1009.51794,31.75,0.20135836,1.2551119,7.4511013,11.405077,166.63536,18.435,0.16283333,0.16504167,Yes
Aceh,Aceh Besar,2024-08-02,-3.9839496,103.3249505,22.017418,82.09691,18.696583,0.48333332,0.48333332,939.6761,83.916664,0.15457657,0.5186886,4.7997136,6.1739635,231.41934,13.23,0.25354168,0.246875,Yes
Jawa Tengah,Semarang,2024-08-03,-6.9903988,110.4229104,28.016335,70.85744,21.697584,0.2,0.2,1011.27814,42.958332,0.20511714,1.2411504,11.276784,17.608364,125.51848,22.98,0.284125,0.1815,Yes
Jawa Timur,Probolinggo,2024-08-03,-7.7441461,113.2158401,27.872084,68.05094,21.049168,0.004166667,0.004166667,1011.2796,56.333332,0.21784914,1.310368,10.707148,15.3885,131.95685,22.439999,0.133125,0.13891667,Yes
Kepulauan Riau,Cilacap,2024-08-04,-7.645699,109.133742,25.464417,85.80902,22.820667,0.079166666,0.079166666,1012.4446,59.583332,0.15060149,0.4914328,13.847412,20.167564,126.30638,25.814999,0.23554167,0.17670834,Yes
Jawa Timur,Pasuruan,2024-10-01,-6.30304,106.896762,28.246666,72.05324,22.294584,0.008333334,0.008333334,1004.6715,85.875,0.21553272,1.2165114,5.554573,8.116248,134.51366,13.7699995,0.41933334,0.41858333,Yes
Jawa Timur,Kota Kediri,2024-10-01,-7.8111057,112.0046051,27.82525,72.25956,22.1565,0.054166667,0.054166667,1002.3574,91.083336,0.24525344,1.1080587,20.125347,29.932913,200.35054,39.51,0.21875,0.21316667,Yes
Banten,Kota Cilegon,2024-10-02,-6.032761,106.1636947,29.165249,70.17089,22.89025,0.041666668,0.041666668,1009.78424,93.125,0.20965078,1.2985508,5.354616,9.050168,124.47002,15.825,0.17145833,0.14695834,Yes
Jawa Timur,Probolinggo,2024-10-03,-7.7441461,113.2158401,29.23875,62.365314,20.897083,0.041666668,0.041666668,1009.45966,95.416664,0.27641428,1.6589768,14.391156,21.408031,151.11292,28.664999,0.13233334,0.133,Yes
Jawa Timur,Trenggalek,2024-10-03,-8.0490793,111.7090951,26.161165,82.01259,22.669498,0.07083333,0.07083333,999.0753,99.541664,0.18117283,0.66573805,6.290493,8.617782,185.82469,16.56,0.397375,0.30487502,Yes
Jawa Timur,Pasuruan,2024-10-04,-6.30304,106.896762,26.89875,82.78197,23.334167,0.62916666,0.62916666,1005.45526,87.041664,0.18757427,0.735683,5.3373027,8.005405,178.64569,15.164999,0.42208335,0.38741666,Yes
Jawa Timur,Situbondo,2024-10-07,-7.7067843,114.0054142,29.263334,61.797047,20.677917,0.0625,0.0625,1007.82666,66.875,0.2651784,1.7027541,9.655337,16.322033,214.92569,23.804998,0.262,0.279,Yes
Jawa Timur,Bondowoso,2024-10-09,-7.9451279,113.882059,27.059584,67.140594,19.661667,0,0,976.23486,42.5,0.24924247,1.3665622,9.203029,14.50741,210.2046,21.57,0.085708335,0.06775,Yes
Jawa Timur,Pasuruan,2024-10-09,-6.30304,106.896762,28.284166,74.39936,22.802917,0.07083333,0.07083333,1004.9957,43.75,0.21270694,1.1315647,6.2023377,9.349682,154.95584,15.539999,0.36279166,0.36616668,Yes
Jawa Timur,Bondowoso,2024-10-11,-7.9451279,113.882059,27.77,68.25185,20.359583,0.008333334,0.008333334,975.3145,93,0.23630095,1.4144794,9.53029,15.390292,199.1622,23.595,0.069583334,0.06475,Yes
Jawa Timur,Pacitan,2024-10-11,-8.1017184,111.1446711,26.808,81.11512,22.97675,0,0,999.24664,70.708336,0.21715164,0.76654,11.551962,18.193647,102.7339,26.039999,0.235375,0.24304166,Yes
